car_id,model,price,depreciation,mileage,road_tax,deregistration_value,coe,curb_weight,power,car_features,car_accessories,descriptions,age_of_car,years_since_launch,trasmission_Auto,trasmission_Manual,number_of_owner_More than 6,type_Hatchback,type_Luxury Sedan,type_MPV,type_Mid-Sized Sedan,type_SUV,type_Sports Car,type_Stationwagon,type_Truck,type_Van
1,Alfa Romeo 159 2.2A JTS Selespeed ,92800.0,11950.0,85000.0,1880.0,31612.0,40714.0,1490.0,136.0,"Features Powerful 2.2L 6 speed selespeed transmission producing 182bhp, JTS direct injection twin phase. 6 x airbags, cruise control, multi function steering. View specs of the Alfa Romeo 159 (2005-2012)",Accessories Factory fitted audio and black leather electrical seats. Auto light sensors and side retractable mirror. Novitec exhaust with original certificate.,"Description Rare 2 owners! Low mileage at 85k km done only. Fully maintained and serviced by agent euroautombile. Stock condition and no modifications done. We offer competitive interest rates. Flexible loan scheme available, fast and easy loan approval. Trade in welcome. Book an appointment with our friendly sales consultants for viewing and further discussion.",12.2818794240918,13.0,1,0,0,0,1,0,0,0,0,0,0,0
2,Alfa Romeo Giulia 2.0A Super,145800.0,21540.0,55000.0,1208.0,48591.0,31809.0,1429.0,147.0,Features Original Alfa White paintwork. Tan leather matched with Silverwood trims. 2.0L inline 4 turbocharged engine coupled with 8 Speed ZF transmission.,"Accessories Highly equipped with Driver Assistance and Safety Pack, Apple CarPlay, Android Auto, Front and Rear sensors, Reverse camera, Electric seats.","Description Stand out from the crowd with this Italian beauty. Agent warranty till Jan 2024. Powerful drive with 200bhp and 330nm. 0-100 in 6.5s. Road tax renewed till Jul 2023. Major servicing done in Dec 2022. 4 tyres recently replaced. Tastefully added Quadrifoglio steering, Carbon fiber spoiler and upgraded brakes. Do arrange in advance as this unit is on consignment. Vehicle inspection welcome.",4.2353040816260465,5.0,1,0,0,0,0,0,0,0,1,0,0,0
3,Alfa Romeo Giulia 2.9A Quadrifoglio,303800.0,33070.0,21000.0,2258.0,106682.0,49489.0,1695.0,375.0,"Features Ferrari F154 2.9L V6 Twin Turbo Engine, 510HP, 600 Nm, 8 Speed ZF Gearbox. 0-100KM/H 3.9Secs. View specs of the Alfa Romeo Giulia (2018)","Accessories Apple car play & Android Auto. Carbon fiber interior, Harman Kardon sound system, navigation, reverse camera, keyless go, memory seats & more to list.","Description 2021 facelifted model, agent 5years 100kkm warranty, upgraded Akrapovic exhaust system, upgraded kw adjustable suspension. Flexible in house loan & bank loan available. Don't miss!",2.25174243779043,3.0,1,0,0,0,0,0,0,0,1,0,0,0
4,Alfa Romeo Giulietta 1.4 Turbo ,88800.0,9850.0,136523.0,669.0,53342.0,59179.0,1310.0,125.0,Features Sporty and classy italian 5d hatchback with large boot space. Powered by reliable 1.4l multiair turbocharged engine producing 167bhp. View specs of the Alfa Romeo Giulietta (2012-2020),Accessories Alfa Romeo 4 pots front BBK. Alfa Romeo horse shoe rims. Eibach lowering springs. Air intake system.,Description Below 10k Depre! Full loan available. 0% downpayment. Fully agent records since day one. 20k worth of wear and tear parts replaced recently. New coilpack and spark plugs too. New paintwork. Consignment unit. Trade in welcome. Car in showroom for viewing.,10.635304081626046,11.0,1,0,0,1,0,0,0,0,0,0,0,0
5,Alfa Romeo Stelvio 2.0A Veloce,242800.0,24750.0,7800.0,1208.0,95400.0,58089.0,1755.0,206.0,"Features 2.0L 4cyl Turbocharged Engine, 280bhp, 400nm of Torque, 5.7s 0-100km/h. Top Speed of 230km/h, Alfa DNA Drive Mode, ZF 8 Speed Automatic Transmission. View specs of the Alfa Romeo Stelvio (2018)","Accessories Full Panoramic roof, 8.8"" touch screen display with 3D navigation, Apple CarPlay, Android Auto, wireless charging, HK sound system, 20"" alfa dial rims","Description 1 Owner, Full Records & Maintenance With EA Agent, Warranty and Servicing To 100K Till Oct 2026, Beautiful Metallic Black With Red Leather Interior Classic Combination, Facelifted 2021 Veloce Unit With Touch Screen and Apple CarPlay, Do Drop By The Showroom To View This Stunning Alfa Romeo Stelvio, Another Pristine Preowned Vehicle From Orchard Credit.",1.4709205199822109,2.0,1,0,0,0,0,0,0,1,0,0,0,0
6,Alpine A110 1.8A,230800.0,26465.0,11900.0,976.0,79690.5,41755.0,1086.0,185.0,"Features 1.8L 4 cylinder 16 valve turbocharged with 288 Bhp & 320 Nm torque, 7 speed DCT, 0-100km in 4.4s, top speed 260km/h, RWD. View specs of the Alpine A11 View specs of the Alpine A110 (2019)Features Powerful 1.8L 16 valve turbocharged engine mated with 7 speed (A) EDC, performance at 4.4s (0-100 km/h) with excellent fc at 14.3 km/l. View specs of the Alpine A110 (2019)","Accessories Multi function leather steering wheel with shifters, keyless entry, LED headlamps, reverse camera with parking sensors, focal premium speakers.Accessories Original stock condition with zero modification.","Description 1 owner, low mileage full service records with agent, well maintained by previous owner! Full loan with high trade in available. Price negotiable. Call now or visit our showroom today.Description Beautiful 2 seater with great power. Car regularly serviced with low mileage. Family second car and regularly parked in sheltered garage. Immediate availability. Owned by professional. Call us for a viewing appointment now. Consignment and viewing is by Appointment only. Loan and trade in can be arranged.",2.6106465473794715,3.5,1,0,0,0,0,0,0,0,1,0,0,0
7,Alpine A110 1.8A Legende,248800.0,26040.0,15209.0,976.0,104691.0,60001.0,1086.0,185.0,"Features A light weight, 1.8l turbo charge mid-engine, RWD, elegant sport Coupe. View specs of the Alpine A110 (2019)",Accessories Accessories Are Excess Weight And Probably Doesn't Matter To You When You Are Looking At An Alpine A110.,"Description The Alpine A110 Has Won Numerous Awards As A Sports Car. Only A Handful Of A110 Legendes Were Available To Singapore! Low mileage done at 15209km. Full agent serviced and warranty with Wearnes. We offer competitive interest rates. Flexible loan scheme available, fast and easy loan approval. Trade in welcome. Book an appointment with our friendly sales consultants for viewing and further discussion",1.9311944925849505,2.0,1,0,0,0,0,0,0,0,1,0,0,0
8,Alpine A110 1.8A Pure,292800.0,27100.0,1490.0,976.0,143470.0,113299.0,1099.0,185.0,"Features Alpine DNA comes creation of A110. A light weight, 1.8L turbocharge mid-engine RWD elegant sport Coupe. Newly acquired unit, Alpine Center Singapore View specs of the Alpine A110 (2019)","Accessories 1099kg Lightweight chassis, 7 sped DCT. Factory fitted: Alpine telemetrics, Sabelt bucket seats, CF interior trims, Focal audio system, Brembo brakes","Description Newly acquired 6 months old unit in Blanc Irise, low mileage with 5 years factory warranty. The A110 is the perfect sports car for the roads. It's lightweight,46%-54% balance chassis equates to lithe, all-round double wishbone provides agile handling, 1.8l turbocharged engine adequately brings 0-100 4.5secs.",0.5640712049137176,2.0,1,0,0,0,0,0,0,0,1,0,0,0
9,Aston Martin DB11 V8 4.0A,702944.0,82360.0,8350.0,3922.0,274726.0,62855.5,1760.0,384.25,"Features Powered by 4.0L V8 twin turbocharged engine, producing 502bhp, 0-100 km/h in 4.0 seconds. Equipped with adaptive suspension View specs of the Aston Martin DB11Features Powered by 4.0L V8 twin turbocharged engine, producing 528bhp and 675nm, 0-100 km/h in 4.0 seconds. View specs of the Aston Martin DB11","Accessories Adjustable exhaust system with valve control, navigation, intelligent LED headlight. 360 degree camera, blind spot assist, Alcantara headliner.Accessories Ming blue metallic paint, onyx black/aurora blue duotone interior, Alcantara headlining, 360 camera, Apple CarPlay/Android Auto, 10 SPK DT wheels.",Description Agent unit. Under warranty. Well maintained by meticulous owner. Call us to arrange viewing.Description Beautiful and rare Ming blue DB11 with Onyx black/aurora blue interior. Low mileage as good as new. Agent unit under consignment. Call to arrange viewing for this unit.,3.207906821352074,4.0,1,0,0,0,0,0,0,0,1,0,0,0
10,Aston Martin DBS Coupe 6.0A ,350000.0,49530.0,33000.0,9069.0,23718.0,33568.0,1740.0,380.0,Features Aston Martin DBS Carbon Black Edition 1/157 made. Limited to 1 Per Dealership Worldwide. Only 1 In Singapore. 510Bhp 6L V12 0-60 4.3sec. View specs of the Aston Martin DBS,Accessories Lightweight Carbon Fibre & Kevlar Bucket Sears. Ceramic Brakes. Obsidian Black hide and Alcantara Interiror. Bang & Olufsen 12 Speaker 1000w S.System.,"Description Aston Martin DBS Carbon Black Edition 1/157 made. Limited to 1 Per Dealership Worldwide. Only 1 In Singapore. Carbon Front Splitters, Rear Diffuser and wing mirror stalks. Iphone Connector. Well maintained. Service at Reputable Workshop. No Repair needed. Viewing By Appointment Only.",12.999687643269882,13.0,1,0,0,0,0,0,0,0,1,0,0,0
